case_id,case_type,run_id,campaign_id,raw_alert_count,meaningful_alert_count,suppression_candidate_count,duplicate_alert_count,noise_alert_count,duplicate_ratio,compression_potential,unique_rule_count,dominant_label,analyst_expected_conclusion
CASE-019,run_case,S11-MAN-R001,,16,16,0,0,0,0.0000,0.0000,6,benign,Analyst should conclude expected benign administrative activity occurred. Alerts can be used to test false-positive suppression and benign context recognition.
CASE-020,run_case,S11-MAN-R002,,16,16,0,0,0,0.0000,0.0000,3,benign,Analyst should conclude expected benign administrative activity occurred. Alerts can be used to test false-positive suppression and benign context recognition.
CASE-021,run_case,S11-MAN-R003,,16,16,0,0,0,0.0000,0.0000,4,benign,Analyst should conclude expected benign administrative activity occurred. Alerts can be used to test false-positive suppression and benign context recognition.
CASE-022,run_case,S12-MAN-R002,,14,1,14,8,14,0.5714,1.0000,6,ambiguous_noise,Analyst should treat this as noisy or false-positive-like activity unless additional evidence changes the context.
CASE-023,campaign_case,C-LNX-01-CAL-R001;C-LNX-01-CAL-R002;C-LNX-01-CAL-R003,C-LNX-01,164,65,99,99,0,0.6037,0.6037,8,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-024,campaign_case,C-WIN-01-CAL-R001;C-WIN-01-CAL-R002,C-WIN-01,12,8,4,4,0,0.3333,0.3333,7,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-025,scenario_case,S01-ART-R001,,24,4,20,18,2,0.7500,0.8333,6,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-026,scenario_case,S02-ART-R001;S02-MAN-R001,,39,3,36,29,7,0.7436,0.9231,11,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-027,scenario_case,S03-ART-R001,,8,1,7,2,5,0.2500,0.8750,6,unrelated_background,Analyst should classify this case as background telemetry not directly tied to the emulated scenario.
CASE-028,scenario_case,S04-ART-R001,,16,2,14,12,2,0.7500,0.8750,4,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-029,scenario_case,S07-MAN-R001;S07-MAN-R002,,60,60,0,0,0,0.0000,0.0000,12,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-030,scenario_case,S08-MAN-R001;S08-MAN-R002,,28,28,0,0,0,0.0000,0.0000,9,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-031,scenario_case,S09-MAN-R001;S09-MAN-R002,,50,50,0,0,0,0.0000,0.0000,9,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-032,scenario_case,S10-MAN-R001;S10-MAN-R002,,132,64,68,42,26,0.3182,0.5152,12,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-033,scenario_case,S11-MAN-R001;S11-MAN-R002;S11-MAN-R003,,48,48,0,0,0,0.0000,0.0000,6,benign,Analyst should conclude expected benign administrative activity occurred. Alerts can be used to test false-positive suppression and benign context recognition.
CASE-034,scenario_case,S12-MAN-R002,,14,1,14,8,14,0.5714,1.0000,6,ambiguous_noise,Analyst should treat this as noisy or false-positive-like activity unless additional evidence changes the context.
CASE-035,background_noise_case,S10-MAN-R002;BACKGROUND-SAMPLE,,17,0,17,0,17,0.0000,1.0000,1,unrelated_background,Analyst should classify this case as background telemetry not directly tied to the emulated scenario.
CASE-036,background_noise_case,S10-MAN-R002;BACKGROUND-SAMPLE,,17,0,17,0,17,0.0000,1.0000,1,unrelated_background,Analyst should classify this case as background telemetry not directly tied to the emulated scenario.
CASE-037,background_noise_case,S01-ART-R001;S02-ART-R001;S02-MAN-R001;S03-ART-R001;S04-ART-R001;BACKGROUND-SAMPLE,,10,0,10,0,10,0.0000,1.0000,1,unrelated_background,Analyst should classify this case as background telemetry not directly tied to the emulated scenario.
CASE-038,background_noise_case,S01-ART-R001;S02-ART-R001;S02-MAN-R001;BACKGROUND-SAMPLE,,8,0,8,0,8,0.0000,1.0000,1,unrelated_background,Analyst should classify this case as background telemetry not directly tied to the emulated scenario.
CASE-039,background_noise_case,S02-ART-R001;S03-ART-R001;BACKGROUND-SAMPLE,,7,0,7,0,7,0.0000,1.0000,1,unrelated_background,Analyst should classify this case as background telemetry not directly tied to the emulated scenario.
CASE-040,technique_case,C-LNX-01-CAL-R003,C-LNX-01,102,27,75,75,0,0.7353,0.7353,1,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-041,technique_case,C-LNX-01-CAL-R002,C-LNX-01,46,23,23,23,0,0.5000,0.5000,1,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-042,technique_case,S10-MAN-R002,,28,23,5,5,0,0.1786,0.1786,7,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-043,technique_case,S10-MAN-R001,,23,4,19,19,0,0.8261,0.8261,5,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-044,technique_case,S09-MAN-R002,,19,19,0,0,0,0.0000,0.0000,5,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-045,technique_case,S07-MAN-R001,,16,16,0,0,0,0.0000,0.0000,4,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-046,technique_case,S08-MAN-R001,,14,14,0,0,0,0.0000,0.0000,7,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-047,technique_case,S10-MAN-R002,,14,14,0,0,0,0.0000,0.0000,1,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-048,technique_case,S10-MAN-R002,,14,14,0,0,0,0.0000,0.0000,1,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-049,technique_case,S07-MAN-R001,,12,12,0,0,0,0.0000,0.0000,2,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-050,technique_case,S10-MAN-R001,,12,4,8,8,0,0.6667,0.6667,1,attack_like,"Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
