run_id,scenario_id,campaign_id,scenario_name,scenario_type,simulation_type,execution_mode,tool,atomic_test_id,caldera_operation_id,caldera_adversary_profile,caldera_ability_id,host,operator,start_ts,end_ts,commands_file,evidence_ids,wazuh_query,expected_signal,cleanup_status,notes
C-WIN-01-CAL-R002,,C-WIN-01,Windows foothold-to-staging campaign,campaign,caldera_campaign,caldera,MITRE Caldera,,TBD_FROM_CALDERA_UI,TBD_FROM_CALDERA_UI,,safesoc-win-01,msolimann,2026-05-14T20:43:05.000-04:00,2026-05-14T20:50:15.094-04:00,,C-WIN-01-CAL-R002_csv;wazuh,"agent.name:""safesoc-win-01""",Windows Caldera campaign telemetry,not_required_or_documented,Derived during Sprint 7 from 14 evidence CSV event rows with a 2-minute correlation buffer.
S07-MAN-R001,S07,,Linux SSH failed login pattern,attack_like,manual_adversary_emulation,manual,manual,,,,,safesoc-lnx-01,msolimann,2026-05-14T21:41:36.453-04:00,2026-05-14T21:51:54.920-04:00,S07_commands.txt,events-2026-05-15T01_50_39.441Z,"agent.name:""safesoc-lnx-01""",Linux SSH/auth telemetry,not_required_or_documented,Derived during Sprint 7 from 51 evidence CSV event rows with a 2-minute correlation buffer.
S07-MAN-R002,S07,,Linux SSH failed login pattern,attack_like,manual_adversary_emulation,manual,manual,,,,,safesoc-lnx-01,msolimann,2026-05-14T22:04:14.918-04:00,2026-05-14T22:08:27.317-04:00,S07_commands.txt,events-2026-05-15T02_07_17.346Z,"agent.name:""safesoc-lnx-01""",Linux SSH/auth telemetry,not_required_or_documented,Derived during Sprint 7 from 9 evidence CSV event rows with a 2-minute correlation buffer.
S08-MAN-R001,S08,,Linux sudo authentication pattern,attack_like,manual_adversary_emulation,manual,manual,,,,,safesoc-lnx-01,msolimann,2026-05-14T22:20:59.710-04:00,2026-05-14T22:25:39.723-04:00,S08_commands.txt,events-2026-05-15T02_24_17.893Z,"agent.name:""safesoc-lnx-01""",Linux sudo/PAM telemetry,not_required_or_documented,Derived during Sprint 7 from 18 evidence CSV event rows with a 2-minute correlation buffer.
S08-MAN-R002,S08,,Linux sudo authentication pattern,attack_like,manual_adversary_emulation,manual,manual,,,,,safesoc-lnx-01,msolimann,2026-05-14T22:37:33.566-04:00,2026-05-14T22:41:44.060-04:00,S08_commands.txt,events-2026-05-15T02_40_37.713Z,"agent.name:""safesoc-lnx-01""",Linux sudo/PAM telemetry,not_required_or_documented,Derived during Sprint 7 from 10 evidence CSV event rows with a 2-minute correlation buffer.
S09-MAN-R001,S09,,Linux discovery sequence,attack_like,manual_adversary_emulation,manual,manual,,,,,safesoc-lnx-01,msolimann,2026-05-14T22:53:45.867-04:00,2026-05-14T22:58:26.396-04:00,S09_commands.txt,events-2026-05-15T02_56_53.734Z,"agent.name:""safesoc-lnx-01""",Linux discovery telemetry,not_required_or_documented,Derived during Sprint 7 from 13 evidence CSV event rows with a 2-minute correlation buffer.
S09-MAN-R002,S09,,Linux discovery sequence,attack_like,manual_adversary_emulation,manual,manual,,,,,safesoc-lnx-01,msolimann,2026-05-14T23:00:29.983-04:00,2026-05-14T23:04:30.510-04:00,S09_commands.txt,events-2026-05-15T03_03_25.277Z,"agent.name:""safesoc-lnx-01""",Linux discovery telemetry,not_required_or_documented,Derived during Sprint 7 from 6 evidence CSV event rows with a 2-minute correlation buffer.
S10-MAN-R001,S10,,Linux cron marker,attack_like,manual_adversary_emulation,manual,manual,,,,,safesoc-lnx-01,msolimann,2026-05-14T23:02:13.598-04:00,2026-05-14T23:06:32.576-04:00,S10_commands.txt,events-2026-05-15T03_05_00.648Z,"agent.name:""safesoc-lnx-01""",Linux cron telemetry,not_required_or_documented,Derived during Sprint 7 from 43 evidence CSV event rows with a 2-minute correlation buffer.
S10-MAN-R002,S10,,Linux cron marker,attack_like,manual_adversary_emulation,manual,manual,,,,,safesoc-lnx-01,msolimann,2026-05-14T23:05:20.370-04:00,2026-05-14T23:09:20.634-04:00,S10_commands.txt,events-2026-05-15T03_07_46.048Z,"agent.name:""safesoc-lnx-01""",Linux cron telemetry,not_required_or_documented,Derived during Sprint 7 from 19 evidence CSV event rows with a 2-minute correlation buffer.
C-LNX-01-CAL-R001,,C-LNX-01,Linux access-to-persistence campaign,campaign,caldera_campaign,caldera,MITRE Caldera,,TBD_FROM_CALDERA_UI,TBD_FROM_CALDERA_UI,,safesoc-lnx-01,msolimann,2026-05-14T23:41:09.000-04:00,2026-05-14T23:51:54.000-04:00,,CAL_LNX_OP1_csv,"agent.name:""safesoc-lnx-01""",Linux Caldera campaign telemetry,not_required_or_documented,Derived during Sprint 7 from 9 evidence CSV event rows with a 2-minute correlation buffer.
C-LNX-01-CAL-R003,,C-LNX-01,Linux access-to-persistence campaign,campaign,caldera_campaign,caldera,MITRE Caldera,,TBD_FROM_CALDERA_UI,TBD_FROM_CALDERA_UI,,safesoc-lnx-01,msolimann,2026-05-14T23:58:17.017-04:00,2026-05-15T00:57:40.000-04:00,,CAL_LNX_OP3 (2026-05-15T04_09_53.102Z)_csv;events-2026-05-15T04_59_57.610Z,"agent.name:""safesoc-lnx-01""",Linux Caldera campaign telemetry,not_required_or_documented,Derived during Sprint 7 from 105 evidence CSV event rows with a 2-minute correlation buffer.
C-LNX-01-CAL-R002,,C-LNX-01,Linux access-to-persistence campaign,campaign,caldera_campaign,caldera,MITRE Caldera,,TBD_FROM_CALDERA_UI,TBD_FROM_CALDERA_UI,,safesoc-lnx-01,msolimann,2026-05-15T00:06:53.000-04:00,2026-05-15T00:33:34.000-04:00,,CAL_LNX_OP2 (2026-05-15T04_08_53.929Z)_csv,"agent.name:""safesoc-lnx-01""",Linux Caldera campaign telemetry,not_required_or_documented,Derived during Sprint 7 from 24 evidence CSV event rows with a 2-minute correlation buffer.
